"date","sim","obs"
2006-01-18,83.21,51.25349233152
2006-01-19,82.21,52.10299772928
2006-01-20,79.06,52.66933466112
2006-01-21,75.45,51.53666079744
2006-01-22,70.33,50.12081846784
2006-01-23,67.87,50.40398693376
2006-01-24,64.9,50.9703238656
2006-01-25,61.85,50.40398693376
2006-01-26,59.92,49.27131307008
2006-01-27,58.01,47.57230227456
2006-01-28,56.52,46.43962841088
2006-01-29,55.39,45.02378608128
2006-01-30,53.36,44.17428068352
2006-01-31,50.1,45.02378608128
2006-02-01,48.92,47.00596534272
2006-02-02,50.67,48.42180767232
2006-02-03,49.83,51.25349233152
2006-02-04,48.49,53.8020085248
2006-02-05,46.41,53.8020085248
2006-02-06,46.11,51.25349233152
2006-02-07,45.23,49.27131307008
2006-02-08,42.99,47.85547074048
2006-02-09,40.55,45.87329147904
2006-02-10,38.15,44.17428068352
2006-02-11,38.1,43.60794375168
2006-02-12,36.95,43.8911122176
2006-02-13,36.23,45.02378608128
2006-02-14,34.09,44.74061761536
2006-02-15,31.9,43.8911122176
2006-02-16,29.33,42.475269888
2006-02-17,27.55,40.77625909248
2006-02-18,27.7,38.79407983104
2006-02-19,28.16,37.09506903552
2006-02-20,29.92,35.67922670592
2006-02-21,28.72,34.82972130816
2006-02-22,29.65,34.26338437632
2006-02-23,29.34,33.9802159104
2006-02-24,26.82,33.9802159104
2006-02-25,45.88,34.54655284224
2006-02-26,62.26,44.74061761536
2006-02-27,70.11,58.0495355136
2006-02-28,71.8,69.65944261632
2006-03-01,70.87,74.75647500288
2006-03-02,67.76,79.57033892352
2006-03-03,64.23,85.23370824192
2006-03-04,60.24,84.950539776
2006-03-05,55.49,81.26934971904
2006-03-06,48.6,79.57033892352
2006-03-07,44.65,82.1188551168
2006-03-08,41.5,86.08321363968
2006-03-09,37.98,83.5346974464
2006-03-10,35.64,71.92479034368
2006-03-11,33.41,58.0495355136
2006-03-12,31,47.00596534272
2006-03-13,27.77,42.475269888
2006-03-14,26.71,40.20992216064
2006-03-15,26.4,38.2277428992
2006-03-16,26.04,36.24556363776
2006-03-17,24.45,35.11288977408
2006-03-18,24.23,34.26338437632
2006-03-19,25.69,33.41387897856
2006-03-20,27.19,32.28120511488
2006-03-21,30.1,31.71486818304
2006-03-22,30.1,31.99803664896
2006-03-23,29.1,32.5643735808
2006-03-24,27.44,31.99803664896
2006-03-25,24.67,31.71486818304
2006-03-26,22.4,32.5643735808
2006-03-27,20.55,33.41387897856
2006-03-28,19.14,35.39605824
2006-03-29,18.18,39.07724829696
2006-03-30,15.92,43.8911122176
2006-03-31,13.15,48.42180767232
2006-04-01,11.41,50.12081846784
2006-04-02,9.739,46.7227968768
2006-04-03,7.862,39.36041676288
2006-04-04,6.449,33.41387897856
2006-04-05,5.716,29.44952045568
2006-04-06,4.942,27.070905341952
2006-04-07,4.339,25.258627160064
2006-04-08,6.556,24.182586989568
2006-04-09,8.352,25.286944006656
2006-04-10,9.518,27.495658040832
2006-04-11,9.525,27.920410739712
2006-04-12,8.86,27.46734119424
2006-04-13,7.451,28.316846592
2006-04-14,6.133,29.16635198976
2006-04-15,4.774,28.60001505792
2006-04-16,3.725,27.269123268096
2006-04-17,2.837,26.05149886464
2006-04-18,2.231,24.49407230208
2006-04-19,1.976,22.483576194048
2006-04-20,1.659,20.359812699648
2006-04-21,1.404,18.151098665472
2006-04-22,1.872,16.593672102912
2006-04-23,2.275,15.885750938112
2006-04-24,2.678,15.177829773312
2006-04-25,2.936,14.838027614208
2006-04-26,3.9,14.781393921024
2006-04-27,4.621,15.829117244928
2006-04-28,5.146,16.70693948928
2006-04-29,4.979,17.160009034752
2006-04-30,4.662,17.584761733632
2006-05-01,4.044,18.094464972288
2006-05-02,3.273,17.726345966592
2006-05-03,2.662,16.197236250624
2006-05-04,2.135,14.696443381248
2006-05-05,2.074,13.478818977792
2006-05-06,2.02,12.770897812992
2006-05-07,3.167,12.062976648192
